id_student,code_module,code_presentation,gender_num,imd_band_num,education_num,age_num,disability_num,num_of_prev_attempts,studied_credits,early_registration,reg_days_before,unregistered,total_clicks,active_days,avg_clicks_day,max_clicks_day,n_resources,click_density,avg_score,min_score,std_score,avg_tma_score,n_submitted,n_late,avg_submit_delay,risk_level,risk_label,final_result
58873,AAA,2013J,0,3.0,2,0,0,0,60,1,47.0,0,1732.0,120.0,3.2927756653992395,34.0,74.0,14.433333333333334,73.2,68.0,3.5637059362410923,73.2,5.0,1.0,0.4,0,Low,Pass
59185,AAA,2013J,1,7.0,1,1,0,0,60,1,59.0,0,1102.0,61.0,3.1942028985507247,28.0,52.0,18.065573770491802,78.6,67.0,9.864076236526156,78.6,5.0,0.0,-0.4,0,Low,Pass
62155,AAA,2013J,0,6.0,3,0,0,0,60,1,68.0,0,3388.0,148.0,3.45361875637105,29.0,98.0,22.89189189189189,76.0,70.0,5.6568542494923815,76.0,5.0,0.0,-2.6,0,Low,Pass
63400,AAA,2013J,1,5.0,1,1,0,0,60,1,67.0,0,2737.0,175.0,3.6013157894736842,42.0,73.0,15.64,71.6,42.0,16.742162345408076,71.6,5.0,0.0,0.0,0,Low,Pass
65002,AAA,2013J,0,8.0,2,0,0,0,60,1,180.0,1,171.0,11.0,3.1666666666666665,14.0,25.0,15.545454545454545,67.0,66.0,1.4142135623730951,67.0,2.0,0.0,-2.5,3,Very High,Withdrawn
70464,AAA,2013J,0,7.0,2,1,0,0,60,1,95.0,0,1053.0,46.0,5.136585365853659,34.0,63.0,22.891304347826086,55.6,38.0,9.864076236526156,55.6,5.0,0.0,-4.6,1,Medium,Pass
71361,AAA,2013J,1,,3,1,0,0,60,1,130.0,0,2327.0,135.0,3.1964285714285716,28.0,81.0,17.237037037037037,80.4,75.0,4.39317652729776,80.4,5.0,0.0,-0.4,0,Low,Pass
74372,AAA,2013J,1,2.0,2,1,0,0,150,1,50.0,0,116.0,14.0,1.6111111111111112,11.0,23.0,8.285714285714286,48.5,18.0,21.641010450839243,48.5,4.0,2.0,1.5,3,Very High,Fail
75091,AAA,2013J,1,4.0,2,1,0,0,60,1,107.0,0,2992.0,122.0,3.9681697612732094,55.0,100.0,24.524590163934427,66.0,65.0,1.0000000000000004,66.0,5.0,1.0,-0.6,1,Medium,Pass
77367,AAA,2013J,1,4.0,2,0,0,0,60,1,27.0,0,680.0,86.0,2.5092250922509227,16.0,44.0,7.906976744186046,70.4,64.0,4.82700735445887,70.4,5.0,1.0,0.8,0,Low,Pass
91265,AAA,2013J,1,1.0,3,0,0,0,60,1,31.0,0,1494.0,125.0,3.0120967741935485,19.0,60.0,11.952,70.8,57.0,7.758865896508328,70.8,5.0,5.0,5.2,1,Medium,Pass
94961,AAA,2013J,1,8.0,1,1,0,0,60,1,170.0,1,339.0,24.0,3.323529411764706,17.0,26.0,14.125,74.0,74.0,0.0,74.0,1.0,0.0,-2.0,3,Very High,Withdrawn
98094,AAA,2013J,1,8.0,1,1,0,0,60,1,107.0,0,2839.0,91.0,7.3549222797927465,79.0,91.0,31.197802197802197,60.6,59.0,1.51657508881031,60.6,5.0,0.0,-7.8,1,Medium,Pass
100893,AAA,2013J,1,3.0,2,0,0,0,60,1,62.0,0,744.0,52.0,3.0617283950617282,24.0,47.0,14.307692307692308,68.4,63.0,4.27784992724149,68.4,5.0,2.0,0.2,1,Medium,Pass
101781,AAA,2013J,1,9.0,1,1,0,0,60,1,103.0,0,4104.0,144.0,4.495071193866375,53.0,99.0,28.5,72.6,64.0,7.987490219086344,72.6,5.0,0.0,-1.8,0,Low,Pass
102806,AAA,2013J,1,4.0,2,0,0,0,60,1,107.0,0,1944.0,177.0,2.4891165172855314,15.0,75.0,10.983050847457626,78.0,60.0,10.677078252031311,78.0,5.0,0.0,0.0,0,Low,Pass
102952,AAA,2013J,1,7.0,3,0,0,0,60,1,100.0,0,1150.0,58.0,3.6741214057507987,29.0,69.0,19.82758620689655,76.6,70.0,5.412947441089744,76.6,5.0,0.0,-0.4,0,Low,Pass
104476,AAA,2013J,1,,4,1,0,0,60,1,109.0,0,4777.0,161.0,4.815524193548387,225.0,106.0,29.67080745341615,79.6,77.0,3.209361307176242,79.6,5.0,2.0,3.8,0,Low,Pass
106247,AAA,2013J,1,9.0,3,1,0,0,60,0,0.0,1,465.0,33.0,3.206896551724138,25.0,43.0,14.090909090909092,60.0,47.0,11.269427669584644,60.0,3.0,2.0,7.0,3,Very High,Withdrawn
106577,AAA,2013J,1,3.0,1,0,0,0,60,1,107.0,0,733.0,47.0,3.316742081447964,24.0,50.0,15.595744680851064,53.4,38.0,9.96493853468249,53.4,5.0,1.0,1.2,2,High,Pass
110175,AAA,2013J,1,9.0,3,1,0,0,60,1,110.0,0,998.0,70.0,2.9096209912536444,19.0,68.0,14.257142857142858,63.4,53.0,6.580273550544841,63.4,5.0,1.0,-0.4,1,Medium,Pass
111717,AAA,2013J,0,10.0,3,1,0,0,60,1,43.0,0,2343.0,136.0,3.9779286926994906,45.0,89.0,17.227941176470587,81.0,80.0,1.7320508075688772,81.0,3.0,0.0,-3.0,0,Low,Pass
113295,AAA,2013J,1,7.0,1,1,0,0,60,1,26.0,0,3553.0,195.0,3.5494505494505493,38.0,92.0,18.22051282051282,77.6,75.0,2.1908902300206634,77.6,5.0,3.0,3.4,0,Low,Pass
114017,AAA,2013J,0,,4,1,0,0,60,1,29.0,0,757.0,50.0,3.277056277056277,25.0,39.0,15.14,71.8,66.0,3.7682887362833544,71.8,5.0,0.0,-1.0,0,Low,Pass
114999,AAA,2013J,1,7.0,3,1,0,0,60,1,68.0,0,1358.0,120.0,2.6627450980392156,22.0,86.0,11.316666666666666,72.8,54.0,10.756393447619885,72.8,5.0,2.0,1.4,1,Medium,Pass
116541,AAA,2013J,1,1.0,3,0,0,0,60,1,68.0,0,1886.0,108.0,3.669260700389105,31.0,73.0,17.462962962962962,62.4,50.0,9.528903399657276,62.4,5.0,4.0,9.4,1,Medium,Pass
116692,AAA,2013J,1,8.0,2,1,0,0,60,1,32.0,0,1108.0,98.0,3.562700964630225,26.0,64.0,11.306122448979592,74.2,72.0,3.0331501776206204,74.2,5.0,0.0,-4.6,0,Low,Pass
118983,AAA,2013J,1,4.0,3,0,0,0,120,1,99.0,0,284.0,27.0,2.5585585585585586,15.0,35.0,10.518518518518519,61.8,45.0,10.256705123966467,61.8,5.0,0.0,0.0,1,Medium,Pass
123044,AAA,2013J,1,5.0,2,1,0,0,60,1,82.0,0,2041.0,127.0,3.401666666666667,38.0,75.0,16.070866141732285,71.4,68.0,2.607680962081061,71.4,5.0,1.0,1.2,0,Low,Pass
127582,AAA,2013J,0,5.0,2,0,0,0,180,1,31.0,0,1321.0,89.0,3.0022727272727274,45.0,64.0,14.842696629213483,69.6,66.0,3.577708763999661,69.6,5.0,3.0,4.2,1,Medium,Pass
129955,AAA,2013J,1,6.0,2,0,0,0,60,1,197.0,1,1011.0,83.0,3.3366336633663365,31.0,51.0,12.180722891566266,81.0,76.0,4.58257569495584,81.0,3.0,1.0,3.0,3,Very High,Withdrawn
132976,AAA,2013J,0,9.0,1,1,0,0,120,1,75.0,0,520.0,32.0,3.4210526315789473,18.0,47.0,16.25,67.4,62.0,5.770615218501402,67.4,5.0,0.0,-0.8,1,Medium,Pass
134143,AAA,2013J,0,10.0,2,1,0,0,60,1,96.0,0,2732.0,138.0,4.801405975395431,72.0,85.0,19.797101449275363,84.4,81.0,2.40831891575846,84.4,5.0,0.0,-0.8,0,Low,Distinction
135335,AAA,2013J,0,3.0,1,0,0,0,180,1,29.0,1,57.0,10.0,2.28,7.0,8.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Very High,Withdrawn
135400,AAA,2013J,0,10.0,1,1,1,0,60,1,32.0,1,287.0,24.0,2.63302752293578,16.0,28.0,11.958333333333334,61.5,51.0,14.849242404917497,61.5,2.0,0.0,-2.5,3,Very High,Withdrawn
137873,AAA,2013J,1,5.0,2,1,0,0,60,1,195.0,0,5528.0,192.0,3.923349893541519,48.0,86.0,28.791666666666668,80.2,72.0,5.630275304103698,80.2,5.0,0.0,-1.8,0,Low,Pass
141355,AAA,2013J,0,4.0,2,0,0,0,240,1,61.0,0,1823.0,92.0,3.1162393162393163,21.0,74.0,19.815217391304348,72.6,70.0,2.880972058177588,72.6,5.0,1.0,1.4,0,Low,Pass
141377,AAA,2013J,1,10.0,2,0,0,0,345,1,110.0,1,143.0,9.0,3.25,15.0,21.0,15.88888888888889,45.0,45.0,0.0,45.0,1.0,1.0,35.0,3,Very High,Withdrawn
142326,AAA,2013J,0,6.0,2,1,0,0,60,1,37.0,0,2121.0,95.0,3.3613312202852614,34.0,84.0,22.326315789473686,73.6,65.0,6.268971207462992,73.6,5.0,1.0,1.0,0,Low,Pass
144801,AAA,2013J,0,9.0,3,1,0,0,60,1,67.0,0,5645.0,200.0,3.484567901234568,25.0,122.0,28.225,68.8,61.0,7.758865896508329,68.8,5.0,2.0,0.6,1,Medium,Pass
145130,AAA,2013J,1,7.0,3,0,0,0,120,1,36.0,0,452.0,35.0,3.033557046979866,32.0,48.0,12.914285714285715,54.4,37.0,14.758048651498612,54.4,5.0,2.0,4.2,2,High,Pass
146188,AAA,2013J,0,3.0,2,0,1,0,60,1,132.0,0,597.0,32.0,3.109375,15.0,53.0,18.65625,50.0,40.0,8.74642784226795,50.0,5.0,2.0,4.8,3,Very High,Fail
147756,AAA,2013J,1,7.0,1,0,0,0,120,1,92.0,0,611.0,74.0,2.6798245614035086,19.0,40.0,8.256756756756756,73.75,71.0,2.7537852736430515,73.75,4.0,2.0,2.5,3,Very High,Fail
147793,AAA,2013J,0,9.0,1,0,0,0,90,1,138.0,1,155.0,9.0,3.7804878048780486,15.0,17.0,17.22222222222222,52.0,52.0,0.0,52.0,1.0,1.0,13.0,3,Very High,Withdrawn
148993,AAA,2013J,0,4.0,2,1,1,0,60,1,174.0,1,1864.0,106.0,3.3646209386281587,32.0,70.0,17.58490566037736,72.0,68.0,5.291502622129181,72.0,3.0,3.0,6.666666666666667,3,Very High,Withdrawn
151358,AAA,2013J,0,9.0,2,0,0,0,150,1,44.0,0,270.0,20.0,3.033707865168539,26.0,31.0,13.5,50.0,45.0,3.6742346141747673,50.0,5.0,0.0,-3.6,2,High,Pass
155550,AAA,2013J,1,1.0,2,1,0,0,420,1,16.0,0,1529.0,81.0,3.649164677804296,41.0,59.0,18.876543209876544,67.0,61.0,5.147815070493501,67.0,5.0,1.0,0.8,1,Medium,Pass
155854,AAA,2013J,0,3.0,2,1,0,0,60,1,54.0,0,4003.0,202.0,4.156801661474558,53.0,96.0,19.816831683168317,79.8,78.0,1.6431676725154978,79.8,5.0,0.0,-1.0,0,Low,Pass
155984,AAA,2013J,0,8.0,1,0,0,0,60,1,64.0,1,908.0,44.0,3.706122448979592,28.0,44.0,20.636363636363637,80.0,75.0,7.0710678118654755,80.0,2.0,1.0,18.0,3,Very High,Withdrawn
157568,AAA,2013J,0,10.0,2,0,0,0,60,1,52.0,0,1405.0,87.0,3.639896373056995,28.0,62.0,16.149425287356323,70.6,59.0,10.4546640309481,70.6,5.0,3.0,9.4,1,Medium,Pass
159954,AAA,2013J,1,5.0,2,1,0,0,60,1,46.0,1,1185.0,66.0,3.703125,26.0,58.0,17.954545454545453,66.5,65.0,2.1213203435596424,66.5,2.0,1.0,3.5,3,Very High,Withdrawn
164259,AAA,2013J,1,8.0,2,0,0,0,60,1,64.0,0,466.0,51.0,1.9497907949790796,13.0,41.0,9.137254901960784,71.8,58.0,9.338094023943,71.8,5.0,1.0,-0.4,0,Low,Pass
167906,AAA,2013J,0,5.0,2,1,0,0,60,1,117.0,0,1510.0,99.0,2.9320388349514563,32.0,75.0,15.252525252525253,69.4,58.0,10.18822850156002,69.4,5.0,2.0,2.8,1,Medium,Pass
168936,AAA,2013J,0,2.0,1,1,0,0,60,1,32.0,0,745.0,42.0,2.466887417218543,25.0,47.0,17.738095238095237,66.4,54.0,10.644247272588137,66.4,5.0,0.0,0.0,1,Medium,Pass
172112,AAA,2013J,1,,3,1,0,0,60,1,50.0,0,1939.0,135.0,2.781922525107604,33.0,84.0,14.362962962962962,69.6,60.0,6.188699378706322,69.6,5.0,3.0,7.0,1,Medium,Pass
172797,AAA,2013J,0,,2,1,0,0,60,1,45.0,0,1782.0,86.0,4.293975903614458,34.0,85.0,20.72093023255814,61.4,54.0,5.272570530585626,61.4,5.0,2.0,0.8,1,Medium,Pass
174782,AAA,2013J,1,10.0,3,2,0,0,60,1,162.0,0,6318.0,249.0,3.8454047474132684,39.0,93.0,25.373493975903614,80.4,77.0,2.60768096208106,80.4,5.0,0.0,-2.0,0,Low,Pass
175392,AAA,2013J,1,,3,1,0,0,60,1,195.0,0,4447.0,197.0,3.3920671243325704,26.0,117.0,22.573604060913706,82.4,74.0,7.23187389270582,82.4,5.0,0.0,-1.8,0,Low,Pass
175932,AAA,2013J,1,8.0,3,1,0,0,60,1,92.0,0,2016.0,97.0,4.613272311212815,54.0,60.0,20.783505154639176,78.2,73.0,3.8987177379235836,78.2,5.0,2.0,0.4,0,Low,Pass
175991,AAA,2013J,0,9.0,2,0,0,0,180,1,57.0,0,138.0,17.0,2.76,22.0,17.0,8.117647058823529,37.6,28.0,9.071934744033381,37.6,5.0,2.0,16.2,3,Very High,Fail
180753,AAA,2013J,1,4.0,2,0,0,0,120,1,64.0,0,2012.0,157.0,2.344988344988345,18.0,83.0,12.815286624203821,53.4,44.0,8.619744775803978,53.4,5.0,0.0,-2.8,2,High,Pass
181316,AAA,2013J,0,9.0,2,1,0,0,120,1,39.0,1,487.0,20.0,3.3586206896551722,27.0,37.0,24.35,76.0,76.0,0.0,76.0,1.0,1.0,1.0,3,Very High,Withdrawn
183096,AAA,2013J,0,7.0,2,0,0,0,60,1,128.0,0,1975.0,116.0,3.610603290676417,61.0,83.0,17.025862068965516,54.0,51.0,2.8284271247461894,54.0,5.0,1.0,0.6,2,High,Pass
183947,AAA,2013J,1,2.0,2,0,0,0,180,1,32.0,0,964.0,58.0,2.619565217391304,25.0,69.0,16.620689655172413,49.0,33.0,12.668859459319927,49.0,5.0,2.0,1.0,2,High,Pass
184271,AAA,2013J,1,9.0,3,1,0,0,170,1,74.0,0,1312.0,147.0,2.750524109014675,23.0,90.0,8.92517006802721,59.8,53.0,5.890670590009256,59.8,5.0,0.0,-2.6,1,Medium,Pass
185439,AAA,2013J,1,2.0,3,0,0,0,120,1,12.0,0,427.0,15.0,4.313131313131313,25.0,36.0,28.466666666666665,74.0,74.0,0.0,74.0,1.0,1.0,5.0,3,Very High,Fail
186149,AAA,2013J,1,4.0,3,1,0,0,60,1,109.0,0,2136.0,109.0,3.651282051282051,36.0,133.0,19.59633027522936,76.0,55.0,11.999999999999998,76.0,5.0,4.0,8.6,0,Low,Pass
187100,AAA,2013J,1,6.0,2,1,0,0,60,1,136.0,0,8562.0,231.0,4.454734651404786,48.0,97.0,37.064935064935064,89.2,88.0,1.095445115010332,89.2,5.0,0.0,-2.0,0,Low,Distinction
188278,AAA,2013J,1,8.0,2,1,0,0,120,1,57.0,1,1434.0,49.0,3.648854961832061,44.0,41.0,29.26530612244898,76.0,76.0,0.0,76.0,1.0,0.0,0.0,3,Very High,Withdrawn
189879,AAA,2013J,1,10.0,2,0,0,0,120,1,180.0,0,1541.0,84.0,3.486425339366516,25.0,75.0,18.345238095238095,79.4,70.0,6.268971207462994,79.4,5.0,1.0,-0.6,0,Low,Pass
192183,AAA,2013J,0,10.0,1,0,0,0,60,1,62.0,0,3219.0,176.0,4.003731343283582,125.0,86.0,18.289772727272727,68.4,58.0,7.092249290598859,68.4,5.0,1.0,0.4,1,Medium,Pass
195262,AAA,2013J,1,10.0,2,0,0,0,60,1,45.0,1,1905.0,58.0,5.411931818181818,46.0,75.0,32.8448275862069,50.0,50.0,0.0,50.0,1.0,1.0,1.0,3,Very High,Withdrawn
200860,AAA,2013J,1,6.0,1,1,0,0,60,1,54.0,0,534.0,81.0,1.9071428571428573,30.0,42.0,6.592592592592593,54.4,33.0,13.296616110875728,54.4,5.0,1.0,-2.0,2,High,Pass
202635,AAA,2013J,0,4.0,2,0,0,0,60,1,73.0,1,1418.0,47.0,4.774410774410774,34.0,49.0,30.170212765957448,66.66666666666667,62.0,4.163331998932267,66.66666666666667,3.0,3.0,10.333333333333334,3,Very High,Withdrawn
205350,AAA,2013J,1,9.0,3,1,0,0,60,1,68.0,0,1665.0,126.0,2.9573712255772646,19.0,106.0,13.214285714285714,72.2,59.0,10.73312629199899,72.2,5.0,0.0,0.0,0,Low,Pass
205719,AAA,2013J,1,5.0,2,0,1,0,90,1,51.0,0,333.0,32.0,2.8461538461538463,22.0,35.0,10.40625,56.666666666666664,40.0,14.571661996262929,56.666666666666664,3.0,2.0,3.6666666666666665,3,Very High,Fail
227499,AAA,2013J,0,2.0,2,1,0,0,60,1,169.0,0,2953.0,162.0,3.6592317224287485,38.0,86.0,18.228395061728396,83.6,83.0,0.5477225575051643,83.6,5.0,0.0,-1.0,0,Low,Distinction
227517,AAA,2013J,1,,3,0,0,0,180,1,172.0,0,1205.0,69.0,3.1136950904392764,39.0,59.0,17.463768115942027,62.6,54.0,5.128352561983235,62.6,5.0,0.0,-0.6,3,Very High,Fail
228082,AAA,2013J,1,7.0,3,0,0,0,60,1,31.0,0,227.0,37.0,1.6691176470588236,7.0,24.0,6.135135135135135,72.4,58.0,9.502631214563678,72.4,5.0,0.0,0.0,0,Low,Pass
228222,AAA,2013J,1,6.0,1,0,0,0,60,1,108.0,0,445.0,38.0,2.680722891566265,16.0,45.0,11.710526315789474,61.8,45.0,10.183319694480774,61.8,5.0,3.0,6.8,1,Medium,Pass
229179,AAA,2013J,1,3.0,2,0,0,0,60,1,165.0,0,614.0,50.0,3.766871165644172,32.0,45.0,12.28,66.0,55.0,6.9641941385920605,66.0,5.0,0.0,-0.8,1,Medium,Pass
229361,AAA,2013J,1,6.0,2,0,0,0,60,1,58.0,0,1215.0,123.0,3.481375358166189,29.0,52.0,9.878048780487806,78.0,75.0,3.24037034920393,78.0,5.0,0.0,-1.0,0,Low,Pass
231554,AAA,2013J,1,5.0,2,0,0,0,240,1,29.0,0,1839.0,86.0,4.227586206896552,45.0,67.0,21.38372093023256,67.75,62.0,8.341662504161464,67.75,4.0,2.0,0.5,1,Medium,Pass
235507,AAA,2013J,1,10.0,2,0,0,0,240,1,79.0,1,190.0,21.0,2.676056338028169,20.0,24.0,9.047619047619047,65.0,65.0,0.0,65.0,1.0,0.0,-1.0,3,Very High,Withdrawn
236284,AAA,2013J,1,10.0,4,0,0,0,60,0,0.0,0,732.0,41.0,3.4857142857142858,25.0,56.0,17.853658536585368,78.0,60.0,10.41633332799983,78.0,5.0,2.0,1.6,0,Low,Pass
238007,AAA,2013J,1,10.0,3,2,0,0,60,1,151.0,0,1935.0,162.0,2.6043068640646028,15.0,92.0,11.944444444444445,79.2,68.0,8.228000972289685,79.2,5.0,0.0,0.0,0,Low,Pass
240712,AAA,2013J,1,9.0,3,0,0,0,80,1,45.0,0,321.0,26.0,3.0,23.0,33.0,12.346153846153847,75.8,66.0,7.293833011524187,75.8,5.0,0.0,0.0,0,Low,Pass
240884,AAA,2013J,1,10.0,2,0,0,0,120,1,47.0,0,427.0,44.0,2.235602094240838,22.0,48.0,9.704545454545455,58.4,54.0,8.763560920082657,58.4,5.0,0.0,-2.0,1,Medium,Pass
241649,AAA,2013J,1,10.0,3,1,0,0,60,1,50.0,0,1892.0,135.0,3.3019197207678883,33.0,77.0,14.014814814814814,78.8,66.0,7.791020472312982,78.8,5.0,0.0,-6.0,0,Low,Pass
241729,AAA,2013J,0,7.0,3,1,0,0,60,1,31.0,0,1829.0,117.0,2.917065390749601,36.0,77.0,15.632478632478632,58.6,51.0,5.412947441089743,58.6,5.0,1.0,1.0,3,Very High,Fail
242793,AAA,2013J,1,3.0,3,1,0,0,60,1,36.0,0,658.0,56.0,2.5019011406844105,29.0,82.0,11.75,77.4,66.0,7.700649323271381,77.4,5.0,0.0,-0.6,0,Low,Pass
246834,AAA,2013J,1,10.0,2,1,0,0,60,1,16.0,0,1174.0,68.0,3.3447293447293447,31.0,50.0,17.264705882352942,55.6,52.0,3.5777087639996634,55.6,5.0,0.0,-0.2,1,Medium,Pass
248270,AAA,2013J,1,3.0,1,0,0,0,90,1,198.0,0,1969.0,193.0,2.6183510638297873,33.0,64.0,10.202072538860104,78.4,74.0,3.0495901363953806,78.4,5.0,3.0,3.8,0,Low,Pass
255548,AAA,2013J,1,3.0,1,1,0,0,60,1,103.0,0,2580.0,166.0,3.165644171779141,25.0,77.0,15.542168674698795,71.4,54.0,13.813037319865606,71.4,5.0,4.0,4.8,1,Medium,Pass
256815,AAA,2013J,1,2.0,3,0,0,0,120,1,117.0,0,1481.0,139.0,2.859073359073359,24.0,79.0,10.654676258992806,76.8,71.0,3.768288736283355,76.8,5.0,3.0,4.6,0,Low,Pass
258392,AAA,2013J,0,4.0,1,0,0,0,60,1,68.0,0,844.0,53.0,2.822742474916388,34.0,63.0,15.924528301886792,58.8,54.0,3.834057902536163,58.8,5.0,2.0,2.2,1,Medium,Pass
258894,AAA,2013J,0,8.0,1,1,0,0,60,1,172.0,0,4963.0,204.0,3.6226277372262774,61.0,85.0,24.32843137254902,64.8,54.0,8.927485648266257,64.8,5.0,2.0,3.2,1,Medium,Pass
260355,AAA,2013J,0,9.0,2,1,0,0,60,1,186.0,1,426.0,43.0,3.1791044776119404,35.0,35.0,9.906976744186046,57.5,55.0,3.5355339059327378,57.5,2.0,3.0,5.666666666666667,3,Very High,Withdrawn
262011,AAA,2013J,1,3.0,2,1,0,0,60,1,145.0,0,1066.0,69.0,3.0898550724637683,26.0,49.0,15.44927536231884,71.0,60.0,7.106335201775948,71.0,5.0,1.0,2.6,0,Low,Pass
262934,AAA,2013J,0,4.0,2,1,0,0,60,1,191.0,0,2407.0,119.0,3.3570432357043236,26.0,71.0,20.22689075630252,76.6,72.0,3.7815340802378086,76.6,5.0,0.0,-1.0,0,Low,Pass
268073,AAA,2013J,1,2.0,2,1,0,0,90,1,33.0,0,3210.0,116.0,4.483240223463687,29.0,88.0,27.67241379310345,74.6,64.0,7.021395872616783,74.6,5.0,0.0,-2.2,3,Very High,Fail
268733,AAA,2013J,1,4.0,2,0,0,0,180,1,17.0,1,188.0,18.0,3.418181818181818,13.0,14.0,10.444444444444445,43.0,35.0,11.313708498984761,43.0,2.0,2.0,5.5,3,Very High,Withdrawn
271251,AAA,2013J,1,9.0,2,1,0,0,60,1,68.0,0,3348.0,128.0,5.23943661971831,78.0,93.0,26.15625,76.4,62.0,9.44986772394196,76.4,5.0,0.0,0.0,0,Low,Pass
277880,AAA,2013J,0,7.0,2,0,0,0,60,1,108.0,1,2016.0,78.0,4.2893617021276595,40.0,63.0,25.846153846153847,67.66666666666667,65.0,2.516611478423583,67.66666666666667,3.0,3.0,7.0,3,Very High,Withdrawn
279572,AAA,2013J,1,5.0,1,0,0,0,60,1,138.0,0,1183.0,63.0,3.983164983164983,51.0,57.0,18.77777777777778,79.2,73.0,3.898717737923585,79.2,5.0,0.0,-3.0,0,Low,Distinction
281022,AAA,2013J,0,4.0,2,0,0,0,150,1,74.0,0,492.0,49.0,2.6885245901639343,17.0,45.0,10.040816326530612,73.4,70.0,2.6076809620810595,73.4,5.0,2.0,1.4,1,Medium,Pass
281250,AAA,2013J,1,8.0,1,1,0,0,60,1,64.0,0,130.0,15.0,1.6883116883116882,9.0,24.0,8.666666666666666,55.4,40.0,10.014988766843425,55.4,5.0,0.0,-2.2,3,Very High,Fail
281589,AAA,2013J,1,4.0,3,0,0,0,60,1,50.0,0,59.0,8.0,2.107142857142857,6.0,12.0,7.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Very High,Fail
282821,AAA,2013J,1,4.0,2,1,0,0,60,1,107.0,0,1961.0,87.0,4.102510460251046,27.0,69.0,22.54022988505747,60.6,43.0,13.011533345459329,60.6,5.0,3.0,5.8,1,Medium,Pass
286488,AAA,2013J,1,10.0,2,1,0,0,60,1,8.0,0,1046.0,68.0,3.683098591549296,31.0,76.0,15.382352941176471,71.0,55.0,9.72111104761179,71.0,5.0,3.0,2.0,1,Medium,Pass
287548,AAA,2013J,1,10.0,2,0,0,0,120,1,52.0,0,483.0,47.0,3.3541666666666665,36.0,53.0,10.27659574468085,67.8,60.0,4.381780460041329,67.8,5.0,1.0,-0.4,1,Medium,Pass
290201,AAA,2013J,1,3.0,2,0,0,0,60,1,96.0,0,1740.0,108.0,3.5080645161290325,29.0,65.0,16.11111111111111,70.4,58.0,7.700649323271382,70.4,5.0,1.0,1.2,0,Low,Pass
290757,AAA,2013J,1,4.0,2,0,0,0,60,1,141.0,0,652.0,33.0,4.261437908496732,252.0,37.0,19.757575757575758,75.0,70.0,3.605551275463989,75.0,5.0,0.0,-0.8,0,Low,Pass
